id	data_source	covid_related
07115	Data cleaned by Emil and Christine	0
06023	Data cleaned by Emil and Christine	1
20409	Data cleaned by Emil and Christine	0
01540	Data cleaned by Emil and Christine	0
19479	Data cleaned by Emil and Christine	0
01355	Data cleaned by Emil and Christine	0
19314	Data cleaned by Emil and Christine	0
06086	Data cleaned by Emil and Christine	0
01542	Data cleaned by Emil and Christine	0
06099	Data cleaned by Emil and Christine	0
06064	Data cleaned by Emil and Christine	0
05137	Data cleaned by Emil and Christine	0
20019	Data cleaned by Emil and Christine	0
06030	Data cleaned by Emil and Christine	0
19452	Data cleaned by Emil and Christine	0
06054	Data cleaned by Emil and Christine	0
01607	Data cleaned by Emil and Christine	0
01350	Data cleaned by Emil and Christine	0
191105	Data cleaned by Emil and Christine	0
01280	Data cleaned by Emil and Christine	0
01324	Data cleaned by Emil and Christine	0
20006	Data cleaned by Emil and Christine	0
06031	Data cleaned by Emil and Christine	0
01353	Data cleaned by Emil and Christine	0
06088	Data cleaned by Emil and Christine	0
01345	Data cleaned by Emil and Christine	0
191081	Data cleaned by Emil and Christine	0
19298	Data cleaned by Emil and Christine	0
20030	Data cleaned by Emil and Christine	0
20360	Data cleaned by Emil and Christine	0
06065	Data cleaned by Emil and Christine	0
191087	Data cleaned by Emil and Christine	0
20183	Data cleaned by Emil and Christine	0
19435	Data cleaned by Emil and Christine	0
19306	Data cleaned by Emil and Christine	0
05058	Data cleaned by Emil and Christine	0
19460	Data cleaned by Emil and Christine	0
01332	Data cleaned by Emil and Christine	0
01335	Data cleaned by Emil and Christine	0
20007	Data cleaned by Emil and Christine	0
20785	Data cleaned by Emil and Christine	0
19523	Data cleaned by Emil and Christine	0
01381	Data cleaned by Emil and Christine	0
01682	Data cleaned by Emil and Christine	1
20222	Data cleaned by Emil and Christine	0
06056	Data cleaned by Emil and Christine	0
20757	Data cleaned by Emil and Christine	0
19318	Data cleaned by Emil and Christine	0
06036	Data cleaned by Emil and Christine	0
01384	Data cleaned by Emil and Christine	0
20364	Data cleaned by Emil and Christine	0
01282	Data cleaned by Emil and Christine	0
20577	Data cleaned by Emil and Christine	0
01475	Data cleaned by Emil and Christine	0
01368	Data cleaned by Emil and Christine	0
05017	Data cleaned by Emil and Christine	0
191056	Data cleaned by Emil and Christine	0
19320	Data cleaned by Emil and Christine	0
06066	Data cleaned by Emil and Christine	0
19312	Data cleaned by Emil and Christine	0
21114	Data cleaned by Emil and Christine	0
06067	Data cleaned by Emil and Christine	0
191104	Data cleaned by Emil and Christine	0
20009	Data cleaned by Emil and Christine	0
01337	Data cleaned by Emil and Christine	0
20128	Data cleaned by Emil and Christine	0
01605	Data cleaned by Emil and Christine	0
20005	Data cleaned by Emil and Christine	0
19524	Data cleaned by Emil and Christine	0
19317	Data cleaned by Emil and Christine	0
21094	Data cleaned by Emil and Christine	0
20011	Data cleaned by Emil and Christine	0
19418	Data cleaned by Emil and Christine	0
06138	Data cleaned by Emil and Christine	0
19309	Data cleaned by Emil and Christine	0
20206	Data cleaned by Emil and Christine	0
01609	Data cleaned by Emil and Christine	0
01330	Data cleaned by Emil and Christine	0
06025	Data cleaned by Emil and Christine	0
01613	Data cleaned by Emil and Christine	0
191086	Data cleaned by Emil and Christine	0
20473	Data cleaned by Emil and Christine	0
21056	Data cleaned by Emil and Christine	0
20854	Data cleaned by Emil and Christine	0
20450	Data cleaned by Emil and Christine	0
20872	Data cleaned by Emil and Christine	0
06169	Data cleaned by Emil and Christine	0
20692	Data cleaned by Emil and Christine	0
01378	Data cleaned by Emil and Christine	0
21165	Data cleaned by Emil and Christine	0
20683	Data cleaned by Emil and Christine	0
20768	Data cleaned by Emil and Christine	0
01322	Data cleaned by Emil and Christine	0
19319	Data cleaned by Emil and Christine	0
01363	Data cleaned by Emil and Christine	0
191106	Data cleaned by Emil and Christine	0
01259	Data cleaned by Emil and Christine	0
01458	Data cleaned by Emil and Christine	0
20787	Data cleaned by Emil and Christine	0
01370	Data cleaned by Emil and Christine	0
191096	Data cleaned by Emil and Christine	0
01277	Data cleaned by Emil and Christine	0
01570	Data cleaned by Emil and Christine	0
20395	Data cleaned by Emil and Christine	0
06041	Data cleaned by Emil and Christine	0
06085	Data cleaned by Emil and Christine	0
01343	Data cleaned by Emil and Christine	0
05194	Data cleaned by Emil and Christine	0
05000	Data cleaned by Emil and Christine	0
01604	Data cleaned by Emil and Christine	0
01513	Data cleaned by Emil and Christine	0
20859	Data cleaned by Emil and Christine	0
191058	Data cleaned by Emil and Christine	0
01268	Data cleaned by Emil and Christine	0
01333	Data cleaned by Emil and Christine	0
191009	Data cleaned by Emil and Christine	0
05038	Data cleaned by Emil and Christine	0
01550	Data cleaned by Emil and Christine	0
01284	Data cleaned by Emil and Christine	0
01328	Data cleaned by Emil and Christine	0
20410	Data cleaned by Emil and Christine	0
01680	Data cleaned by Emil and Christine	1
01295	Data cleaned by Emil and Christine	0
20781	Data cleaned by Emil and Christine	0
20060	Data cleaned by Emil and Christine	0
05249	Data cleaned by Emil and Christine	0
01362	Data cleaned by Emil and Christine	0
01325	Data cleaned by Emil and Christine	0
20676	Data cleaned by Emil and Christine	0
20746	Data cleaned by Emil and Christine	0
20014	Data cleaned by Emil and Christine	0
19486	Data cleaned by Emil and Christine	0
191112	Data cleaned by Emil and Christine	0
21058	Data cleaned by Emil and Christine	0
20694	Data cleaned by Emil and Christine	0
19982	Data cleaned by Emil and Christine	0
01641	Data cleaned by Emil and Christine	0
20636	Data cleaned by Emil and Christine	0
20470	Data cleaned by Emil and Christine	0
05025	Data cleaned by Emil and Christine	0
01646	Data cleaned by Emil and Christine	0
01349	Data cleaned by Emil and Christine	0
01364	Data cleaned by Emil and Christine	0
20375	Data cleaned by Emil and Christine	0
19484	Data cleaned by Emil and Christine	0
06053	Data cleaned by Emil and Christine	0
20225	Data cleaned by Emil and Christine	0
19493	Data cleaned by Emil and Christine	0
20734	Data cleaned by Emil and Christine	0
01316	Data cleaned by Emil and Christine	0
01346	Data cleaned by Emil and Christine	0
20705	Data cleaned by Emil and Christine	0
20767	Data cleaned by Emil and Christine	0
191017	Data cleaned by Emil and Christine	0
19310	Data cleaned by Emil and Christine	0
19961	Data cleaned by Emil and Christine	0
01545	Data cleaned by Emil and Christine	0
20525	Data cleaned by Emil and Christine	0
06059	Data cleaned by Emil and Christine	0
19445	Data cleaned by Emil and Christine	0
01636	Data cleaned by Emil and Christine	0
16000	Data cleaned by Emil and Christine	0
01459	Data cleaned by Emil and Christine	0
20751	Data cleaned by Emil and Christine	0
01633	Data cleaned by Emil and Christine	0
01273	Data cleaned by Emil and Christine	0
01399	Data cleaned by Emil and Christine	0
20088	Data cleaned by Emil and Christine	0
20447	Data cleaned by Emil and Christine	0
20647	Data cleaned by Emil and Christine	0
06115	Data cleaned by Emil and Christine	0
01515	Data cleaned by Emil and Christine	0
20617	Data cleaned by Emil and Christine	0
01606	Data cleaned by Emil and Christine	0
191114	Data cleaned by Emil and Christine	0
20545	Data cleaned by Emil and Christine	0
01662	Data cleaned by Emil and Christine	0
20530	Data cleaned by Emil and Christine	0
07037	Data cleaned by Emil and Christine	0
01599	Data cleaned by Emil and Christine	0
01664	Data cleaned by Emil and Christine	0
20179	Data cleaned by Emil and Christine	0
06174	Data cleaned by Emil and Christine	0
20774	Data cleaned by Emil and Christine	0
20055	Data cleaned by Emil and Christine	0
20050	Data cleaned by Emil and Christine	0
19934	Data cleaned by Emil and Christine	0
01507	Data cleaned by Emil and Christine	0
05093	Data cleaned by Emil and Christine	0
20644	Data cleaned by Emil and Christine	0
20758	Data cleaned by Emil and Christine	0
19283	Data cleaned by Emil and Christine	0
05169	Data cleaned by Emil and Christine	0
05060	Data cleaned by Emil and Christine	0
01354	Data cleaned by Emil and Christine	0
01274	Data cleaned by Emil and Christine	0
19316	Data cleaned by Emil and Christine	0
20795	Data cleaned by Emil and Christine	0
01478	Data cleaned by Emil and Christine	0
20510	Data cleaned by Emil and Christine	0
20025	Data cleaned by Emil and Christine	0
05173	Data cleaned by Emil and Christine	0
01685	Data cleaned by Emil and Christine	1
05089	Data cleaned by Emil and Christine	0
21091	Data cleaned by Emil and Christine	0
19455	Data cleaned by Emil and Christine	0
20547	Data cleaned by Emil and Christine	0
05281	Data cleaned by Emil and Christine	0
01653	Data cleaned by Emil and Christine	0
05009	Data cleaned by Emil and Christine	0
19492	Data cleaned by Emil and Christine	0
06049	Data cleaned by Emil and Christine	0
01366	Data cleaned by Emil and Christine	0
01500	Data cleaned by Emil and Christine	0
20437	Data cleaned by Emil and Christine	0
191078	Data cleaned by Emil and Christine	0
20337	Data cleaned by Emil and Christine	0
05234	Data cleaned by Emil and Christine	0
191095	Data cleaned by Emil and Christine	0
05288	Data cleaned by Emil and Christine	0
20216	Data cleaned by Emil and Christine	0
05203	Data cleaned by Emil and Christine	0
19300	Data cleaned by Emil and Christine	0
01505	Data cleaned by Emil and Christine	0
01557	Data cleaned by Emil and Christine	0
20813	Data cleaned by Emil and Christine	0
05076	Data cleaned by Emil and Christine	0
06051	Data cleaned by Emil and Christine	0
01409	Data cleaned by Emil and Christine	0
191085	Data cleaned by Emil and Christine	0
191006	Data cleaned by Emil and Christine	0
19476	Data cleaned by Emil and Christine	0
01427	Data cleaned by Emil and Christine	0
19489	Data cleaned by Emil and Christine	0
01270	Data cleaned by Emil and Christine	0
05001	Data cleaned by Emil and Christine	0
20414	Data cleaned by Emil and Christine	0
01323	Data cleaned by Emil and Christine	0
20356	Data cleaned by Emil and Christine	0
05158	Data cleaned by Emil and Christine	0
01260	Data cleaned by Emil and Christine	0
20311	Data cleaned by Emil and Christine	0
05134	Data cleaned by Emil and Christine	0
06179	Data cleaned by Emil and Christine	0
20367	Data cleaned by Emil and Christine	0
19490	Data cleaned by Emil and Christine	0
20501	Data cleaned by Emil and Christine	0
20037	Data cleaned by Emil and Christine	0
20664	Data cleaned by Emil and Christine	1
06055	Data cleaned by Emil and Christine	0
20772	Data cleaned by Emil and Christine	0
01430	Data cleaned by Emil and Christine	0
19795	Data cleaned by Emil and Christine	0
05179	Data cleaned by Emil and Christine	0
05047	Data cleaned by Emil and Christine	0
19387	Data cleaned by Emil and Christine	0
01248	Data cleaned by Emil and Christine	0
20115	Data cleaned by Emil and Christine	0
19321	Data cleaned by Emil and Christine	0
01279	Data cleaned by Emil and Christine	0
01379	Data cleaned by Emil and Christine	0
191117	Data cleaned by Emil and Christine	0
20003	Data cleaned by Emil and Christine	0
01352	Data cleaned by Emil and Christine	0
01576	Data cleaned by Emil and Christine	0
06033	Data cleaned by Emil and Christine	0
21154	Data cleaned by Emil and Christine	0
01315	Data cleaned by Emil and Christine	0
01329	Data cleaned by Emil and Christine	0
06063	Data cleaned by Emil and Christine	0
01347	Data cleaned by Emil and Christine	1
20305	Data cleaned by Emil and Christine	0
20032	Data cleaned by Emil and Christine	0
21057	Data cleaned by Emil and Christine	0
21024	Data cleaned by Emil and Christine	0
05206	Data cleaned by Emil and Christine	0
21135	Data cleaned by Emil and Christine	0
19041	Data cleaned by Emil and Christine	0
20633	Data cleaned by Emil and Christine	0
01271	Data cleaned by Emil and Christine	0
01356	Data cleaned by Emil and Christine	0
20349	Data cleaned by Emil and Christine	0
19467	Data cleaned by Emil and Christine	0
01421	Data cleaned by Emil and Christine	0
20457	Data cleaned by Emil and Christine	0
01287	Data cleaned by Emil and Christine	0
05282	Data cleaned by Emil and Christine	0
01546	Data cleaned by Emil and Christine	0
20399	Data cleaned by Emil and Christine	0
01278	Data cleaned by Emil and Christine	0
20211	Data cleaned by Emil and Christine	0
191082	Data cleaned by Emil and Christine	0
20001	Data cleaned by Emil and Christine	0
01348	Data cleaned by Emil and Christine	0
06128	Data cleaned by Emil and Christine	0
01644	Data cleaned by Emil and Christine	0
24019	Data cleaned by Emil and Christine	0
01257	Data cleaned by Emil and Christine	0
01321	Data cleaned by Emil and Christine	0
20748	Data cleaned by Emil and Christine	0
21180	Data cleaned by Emil and Christine	0
05208	Data cleaned by Emil and Christine	0
01602	Data cleaned by Emil and Christine	0
06042	Data cleaned by Emil and Christine	0
191073	Data cleaned by Emil and Christine	0
19457	Data cleaned by Emil and Christine	0
01687	Data cleaned by Emil and Christine	1
01314	Data cleaned by Emil and Christine	0
01319	Data cleaned by Emil and Christine	0
06176	Data cleaned by Emil and Christine	0
06153	Data cleaned by Emil and Christine	0
20631	Data cleaned by Emil and Christine	0
20474	Data cleaned by Emil and Christine	0
01528	Data cleaned by Emil and Christine	0
06170	Data cleaned by Emil and Christine	0
20743	Data cleaned by Emil and Christine	0
20129	Data cleaned by Emil and Christine	0
19313	Data cleaned by Emil and Christine	0
01503	Data cleaned by Emil and Christine	0
20857	Data cleaned by Emil and Christine	0
21073	Data cleaned by Emil and Christine	0
20738	Data cleaned by Emil and Christine	0
01480	Data cleaned by Emil and Christine	0
06167	Data cleaned by Emil and Christine	0
20033	Data cleaned by Emil and Christine	0
20131	Data cleaned by Emil and Christine	0
01388	Data cleaned by Emil and Christine	0
01342	Data cleaned by Emil and Christine	0
05144	Data cleaned by Emil and Christine	0
20368	Data cleaned by Emil and Christine	0
05148	Data cleaned by Emil and Christine	0
01254	Data cleaned by Emil and Christine	0
01651	Data cleaned by Emil and Christine	0
01367	Data cleaned by Emil and Christine	1
01338	Data cleaned by Emil and Christine	0
20405	Data cleaned by Emil and Christine	0
01652	Data cleaned by Emil and Christine	0
01471	Data cleaned by Emil and Christine	0
01618	Data cleaned by Emil and Christine	0
01593	Data cleaned by Emil and Christine	0
01639	Data cleaned by Emil and Christine	0
05104	Data cleaned by Emil and Christine	0
01479	Data cleaned by Emil and Christine	0
01585	Data cleaned by Emil and Christine	0
01437	Data cleaned by Emil and Christine	0
19789	Data cleaned by Emil and Christine	0
21040	Data cleaned by Emil and Christine	0
06032	Data cleaned by Emil and Christine	0
20028	Data cleaned by Emil and Christine	0
21095	Data cleaned by Emil and Christine	0
01327	Data cleaned by Emil and Christine	0
20684	Data cleaned by Emil and Christine	0
01317	Data cleaned by Emil and Christine	0
21178	Data cleaned by Emil and Christine	0
06131	Data cleaned by Emil and Christine	0
01629	Data cleaned by Emil and Christine	0
20465	Data cleaned by Emil and Christine	0
191063	Data cleaned by Emil and Christine	0
20829	Data cleaned by Emil and Christine	0
20445	Data cleaned by Emil and Christine	0
19562	Data cleaned by Emil and Christine	0
19029	Data cleaned by Emil and Christine	0
19322	Data cleaned by Emil and Christine	0
01372	Data cleaned by Emil and Christine	0
20704	Data cleaned by Emil and Christine	0
19006	Data cleaned by Emil and Christine	0
21077	Data cleaned by Emil and Christine	0
20700	Data cleaned by Emil and Christine	0
01499	Data cleaned by Emil and Christine	0
01638	Data cleaned by Emil and Christine	0
05198	Data cleaned by Emil and Christine	0
20326	Data cleaned by Emil and Christine	0
20483	Data cleaned by Emil and Christine	0
01592	Data cleaned by Emil and Christine	0
191066	Data cleaned by Emil and Christine	0
01420	Data cleaned by Emil and Christine	0
20180	Data cleaned by Emil and Christine	0
01485	Data cleaned by Emil and Christine	0
05171	Data cleaned by Emil and Christine	0
06177	Data cleaned by Emil and Christine	0
05188	Data cleaned by Emil and Christine	0
21142	Data cleaned by Emil and Christine	0
01595	Data cleaned by Emil and Christine	0
19301	Data cleaned by Emil and Christine	0
01336	Data cleaned by Emil and Christine	0
08011	Data cleaned by Emil and Christine	1
19157	Data cleaned by Emil and Christine	1
