career_stage_dst;year_cat;fte;fte_pct;fte_pct_no_tap
Professor;2008-2010;822.3333333;0.062536439;0.088939361
Professor;2011-2013;935.3333333;0.061466342;0.085616647
Professor;2014-2016;1115.666667;0.068988972;0.091655941
Associate Professor;2008-2010;2429.666667;0.18477021;0.262780301
Associate Professor;2011-2013;2431;0.159755537;0.222523952
Associate Professor;2014-2016;2543;0.157250335;0.208916395
Assistant Professor/Postdoc;2008-2010;1837;0.139699359;0.19868051
Assistant Professor/Postdoc;2011-2013;2286.333333;0.150248625;0.209281748
Assistant Professor/Postdoc;2014-2016;2973;0.183840049;0.244242408
Other academic personnel;2008-2010;898.3333333;0.068316054;0.097159132
Other academic personnel;2011-2013;998.6666667;0.065628354;0.091413926
Other academic personnel;2014-2016;1182.333333;0.073111409;0.097132842
PhD Student;2008-2010;3258.666667;0.247813633;0.352440695
PhD Student;2011-2013;4273.333333;0.280826269;0.391163727
PhD Student;2014-2016;4358.333333;0.269504277;0.358052414
Non-academic personnel;2008-2010;3903.666667;0.296864306;
Non-academic personnel;2011-2013;4292.333333;0.282074872;
Non-academic personnel;2014-2016;3999.333333;0.247304957;
