gender_category;year_cat;group;fte_mean;fte_pct
Men;2008-2010;SSH;1742.333333;0.570944839
Men;2011-2013;SSH;1863.666667;0.547654031
Men;2014-2016;SSH;2167.333333;0.537222176
Men;2020-2021;SSH;2033;0.506099079
Women;2008-2010;SSH;1309.333333;0.429055161
Women;2011-2013;SSH;1539.333333;0.452345969
Women;2014-2016;SSH;1867;0.462777824
Women;2020-2021;SSH;1984;0.493900921
Men;2008-2010;NTH;5628;0.623693251
Men;2011-2013;NTH;6546.666667;0.596199381
Men;2014-2016;NTH;7316.666667;0.606906849
Men;2020-2021;NTH;7602.5;0.553472627
Women;2008-2010;NTH;3395.666667;0.376306749
Women;2011-2013;NTH;4434;0.403800619
Women;2014-2016;NTH;4739;0.393093151
Women;2020-2021;NTH;6133.5;0.446527373
Men;2008-2010;Total;7370.333333;0.610362723
Men;2011-2013;Total;8410.333333;0.584714143
Men;2014-2016;Total;9484;0.589434431
Men;2020-2021;Total;9635.5;0.542753337
Women;2008-2010;Total;4705;0.389637277
Women;2011-2013;Total;5973.333333;0.415285857
Women;2014-2016;Total;6606;0.410565569
Women;2020-2021;Total;8117.5;0.457246663
