id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
1,cancer diseases and risk of venous thromboembolism. effect of microvesicles and tissue factor,1855800,0,2015,0,0,-1,"",63,1,aalborg hospital,NULL,6,11,4511,"","",kristensen; soren risom,kristensen,soren risom,0,aalborg-hosp,det frie forskningsråd,Projekt,1
2,"circulating cd36, inflammation and the metabolic syndrome",200000,0,2011,0,0,-1,"",63,12,aalborg hospital + aarhus unviversitets hospital,NULL,1,2,2724,"","",handberg; aase,handberg,aase,0,aalborg-hosp,novo nordisk,Projekt,0
3,forandringer i centralnervesystemet hos patienter med diabetisk autonom neuropati behandlet med ?gastrisk pacing?,100000,0,2006,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,2279,"","",frokjar; jens brondum,frokjar,jens brondum,0,aalborg-hosp,novo nordisk,Projekt,1
4,new geometric & biomechanical measurements of the oesophagogastric junction,120000,0,2005,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,2533,"","",gregersen; hans,gregersen,hans,0,aalborg-hosp,novo nordisk,Projekt,1
5,elderly care: a mixed methods study on elderly medical ward patients in risk of early rehospitalisation,137000,0,2012,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,6566,"","",pedersen; mona kyndi,pedersen,mona kyndi,0,aalborg-hosp,novo nordisk,Projekt,0
6,nyuddannede sygeplejerskers kliniske beslutningstagen: en etnografisk undersøgelse af de vidensformer der ligger til grund for den kliniske beslutningsproces.,500000,0,2012,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,8624,"","",voldbjerg; siri lygum,voldbjerg,siri lygum,0,aalborg-hosp,novo nordisk,Ph.d.,0
7,development and regression of thyroid autoimmunity and thyroid dysfunction in people living in denmark in relation to a change in iodine nutrition,2640750,0,2010,0,0,-1,"",63,1,"aalborg sygehus, endokrinologisk afdeling",NULL,6,11,4793,"","",laurberg; peter,laurberg,peter,0,aalborg-hosp,det frie forskningsråd,Projekt,1
8,clinical presentation and outcome among patients with pneumococci isolated from lower airway samples and blood: population-based cohort study,154650,0,2011,0,0,-1,"",63,1,"aalborg sygehus, klinisk epidemiologisk afd.",NULL,6,11,8290,"","",thomsen; reimar niels wernich,thomsen,reimar niels wernich,0,aalborg-hosp,det frie forskningsråd,Skolarstipendier,1
9,basal palliativ sygepleje på hospital. et ph.d studium,500000,0,2011,0,0,-1,"",63,1,sygehus nord,NULL,1,2,703,"","",bergenholtz; heidi,bergenholtz,heidi,0,aalborg-hosp,novo nordisk,Ph.d.,0
10,meningsfuld forandring med metoden guidet egen-beslutning - et randomiseret kontrolleret studie for patienter med diagnosen skizofreni.,200000,0,2009,0,0,-1,"",63,1,aalborg psykiatriske sygehus,NULL,28,0,3983,"","",jorgensen; rikke,jorgensen,rikke,0,aalborg-hosp,trygfonden,Projekt,0
11,skizofreni og blodpropper,232000,0,2009,0,0,-1,"",63,1,aalborg psykiatriske sygehus,NULL,28,0,5895,"","",nielsen; jimmi,nielsen,jimmi,0,aalborg-hosp,trygfonden,Projekt,1
12,subklinisk bakteriæmi og mortalitet hos hæmodialysepatienter,400000,0,2010,0,0,-1,"",63,1,aalborg sygehus,NULL,10,0,1349,"","",christensen; jeppe hagstrup,christensen,jeppe hagstrup,0,aalborg-hosp,lundbeck fonden,Projekt,1
14,97. n-3 fedtsyrer og brystkræft.,2115250,0,2006,36,0,-1,"",63,1,aalborg sygehus,NULL,13,0,2004,"","",ewertz; marianne,ewertz,marianne,0,aalborg-hosp,kræftens bekæmpelse,Projekt,0
17,"",99914,99229,2008,0,1,-1,"forskningschef, professor",63,1,aalborg sygehus,NULL,6,12,2533,"",biomedicinsk forskning,gregersen; hans,gregersen,hans,0,aalborg-hosp,det frie forskningsråd,Rejser/konferencer/mobilitet,1
18,microparticles and complications related to obesity (micro),300000,0,2013,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,2724,"","",handberg; aase,handberg,aase,0,aalborg-hosp,novo nordisk,Projekt,0
20,investigations of apolipoprotein ciii as a marker of high-density lipoprotein without cardioprotective benefits - a novel tool for improved risk classification?,2937930,3,2009,0,0,32,"",63,1,aalborg sygehus,NULL,6,11,3705,"","",jensen; majken karoline,jensen,majken karoline,0,aalborg-hosp,det frie forskningsråd,Postdoc,0
21,"",113410,110000,2005,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,12,3890,"",biomedicinsk forskning,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Andet,1
22,"",1237200,3750000,2005,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,12,3890,"",klinisk forskning,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Projekt,1
23,"",123720,299000,2007,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,12,3890,"",klinisk forskning,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Andet,1
24,"",1000000,9480000,2006,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,33,3890,"",ingen fagkode,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Ph.d.,1
25,"",900000,900000,2007,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,7,3890,"",ingen fagkode,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Andet,1
26,"",8674187,9545459,2007,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,7,3890,"",ingen fagkode,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Andet,1
27,"",400000,499500,2008,0,1,-1,"professor, overlæge, dr.med.",63,1,aalborg sygehus,NULL,6,7,3890,"",ingen fagkode,johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,det frie forskningsråd,Projekt,1
28,micrornaers regulering af phenotypiske karakteristika i diffuse storcellet b-celle lymfomer.,70000,0,2008,12,0,-1,"",63,1,aalborg sygehus,NULL,13,0,4053,"","",kallehauge; emilie,kallehauge,emilie,0,aalborg-hosp,kræftens bekæmpelse,Skolarstipendier,0
29,the role of non-coding rnas in the pathogenesis of multiple myeloma and acute myeloid leukemia,1000000,0,2013,0,0,-1,"",63,1,aalborg sygehus,NULL,1,2,4100,"","",kauppinen; sakari,kauppinen,sakari,0,aalborg-hosp,novo nordisk,Projekt,3
